,"市盈率PE(TTM)
[单位] 倍",,,,,,,,,
时间,全指公用,全指能源,全指材料,全指工业,全指可选,全指消费,全指医药,全指金融,全指信息,全指电信
2019/3/29,21.5699,15.0183,16.4019,23.4033,22.3707,34.088,33.6818,9.3561,63.6815,51.3534
2019/3/28,21.3569,14.7061,15.779,22.6943,21.7501,33.4483,32.6353,8.9893,61.923,50.3965
2019/3/27,21.3413,14.9464,16.051,22.8194,21.9851,33.4393,33.0049,9.0093,62.226,49.0225
2019/3/26,21.3964,14.8844,15.8502,22.6875,21.7862,32.7389,32.0434,8.9144,62.5668,49.2005
2019/3/25,21.7255,15.1018,16.0654,23.3547,22.323,32.7673,32.7586,9.0034,62.9514,51.0252
2019/3/22,21.8554,15.4968,16.2456,23.5231,22.6274,33.4762,33.4454,9.2518,63.7715,51.5643
2019/3/21,21.6685,15.4579,16.2832,23.4583,22.4418,33.3712,33.2188,9.2967,63.7755,51.9989
2019/3/20,21.5659,15.3922,16.1523,23.3587,22.2236,33.4692,33.055,9.3068,62.7445,51.5867
2019/3/19,21.8105,15.3677,16.1476,23.377,22.3099,33.6546,33.1395,9.2721,63.3187,51.8849
2019/3/18,21.5814,15.3915,16.1246,23.3921,22.2498,34.0049,33.3484,9.3059,62.6821,51.8486
2019/3/15,21.232,15.0454,15.6539,22.8602,21.756,32.3211,31.9203,9.1293,61.2584,50.6066
2019/3/14,21.0548,14.9458,15.3932,22.517,21.3837,31.8137,31.4262,9.0444,60.7724,50.6887
2019/3/13,21.3413,14.9684,15.5338,22.9603,21.6974,31.8967,31.9672,9.1115,62.8127,55.2996
2019/3/12,21.8271,15.1331,15.7082,23.3064,22.0617,32.4503,32.1615,9.1401,65.9519,58.264
2019/3/11,21.5666,14.9998,15.5719,22.9361,21.7807,32.0846,31.8639,9.0816,64.3921,57.0254
2019/3/8,21.1375,14.8527,15.0867,22.0222,21.0967,31.098,30.6081,9.0251,61.9575,54.8284
2019/3/7,21.9545,15.5114,15.9459,23.1428,22.0397,31.56,31.4737,9.4726,62.9863,57.3969
2019/3/6,21.904,15.5588,15.8117,23.0532,22.0931,32.0834,31.5736,9.5516,61.9935,56.9845
2019/3/5,21.4292,15.3654,15.481,22.7899,21.79,32.182,31.3236,9.4356,60.9485,55.4013
2019/3/4,21.1497,15.3807,15.2902,22.3832,21.3817,31.9127,30.9402,9.4398,58.5873,53.5591
2019/3/1,20.8993,15.3007,15.1062,22.015,21.0713,31.3519,30.3873,9.3645,57.185,52.5168
2019/2/28,20.7403,15.1436,14.8736,21.7963,20.8706,30.4126,30.2831,9.0976,56.7642,52.325
2019/2/27,20.8434,15.2152,14.5594,20.9082,19.2503,29.7613,28.6522,9.213,42.3695,51.621
2019/2/26,20.9082,15.1695,14.5119,20.9198,18.8457,29.4925,28.2254,9.1144,41.6293,51.5704
2019/2/25,20.8979,15.2013,14.4384,20.8724,18.9893,29.7242,28.0567,9.2872,41.853,52.5237
2019/2/22,20.1516,14.6118,13.6824,19.5122,17.9241,28.5781,26.9427,8.6583,39.3349,49.5481
2019/2/21,19.9606,14.541,13.4661,19.1473,17.586,28.3313,26.7874,8.45,36.2547,46.8305
2019/2/20,20.0886,14.6408,13.5242,19.0379,17.3149,28.1686,26.8376,8.4846,34.8608,39.4218
2019/2/19,20.0682,14.5782,13.4319,18.9166,17.2488,28.272,27.0679,8.4392,34.9455,39.2355
2019/2/18,20.1455,14.603,13.4263,18.9008,17.246,28.5483,27.2736,8.4198,34.7192,39.2775
2019/2/15,19.8227,14.3087,13.0428,18.3658,16.7354,27.6879,26.3268,8.2006,32.7577,37.9263
2019/2/14,19.796,14.4692,13.1525,18.5223,17.0577,27.8688,26.5522,8.3833,33.0989,38.0897
2019/2/13,19.847,14.5024,13.1209,18.4158,16.9413,27.5808,26.3968,8.4296,32.986,38.1985
2019/2/12,19.6875,14.2814,12.6807,18.1567,16.6494,27.2135,26.0701,8.2906,31.9154,36.1185
2019/2/11,19.5486,14.1916,12.6879,17.9825,16.4624,27.1626,25.4535,8.2767,31.546,35.6856
2019/2/1,19.2752,14.1617,12.4053,17.6402,16.0574,26.0715,24.8652,8.2421,30.4177,34.6132
2019/1/31,19.0382,14.0651,12.1308,17.2474,15.7046,25.6945,24.0722,8.2025,29.3967,33.6882
2019/1/30,19.0833,13.9327,12.2306,17.4204,15.554,25.5308,24.1669,8.0429,29.6944,33.6938
2019/1/29,19.3043,13.9876,12.3415,17.6064,15.8012,25.8971,24.3885,8.0745,30.1271,34.1642
2019/1/28,19.2902,13.9488,12.4372,17.7905,15.9187,25.7615,24.5,8.0299,30.6872,34.7889
2019/1/25,19.2461,13.2874,12.477,17.7873,15.9415,25.7149,24.8029,8.044,30.7883,34.9935
2019/1/24,19.3781,13.259,12.4948,17.7642,15.8913,25.66,24.8624,7.9484,30.8673,35.415
2019/1/23,19.4371,13.1981,12.5427,17.7616,15.8336,25.4463,24.7631,7.8942,30.4283,35.2209
2019/1/22,19.3351,13.2468,12.457,17.7826,15.788,25.412,24.8739,7.8766,30.5152,35.2791
2019/1/21,19.5045,13.4266,12.617,18.0046,15.9904,25.8005,25.2966,7.9544,30.9213,35.8367
2019/1/18,19.4366,13.2988,12.5217,17.927,15.8647,25.5771,25.1438,7.9206,30.677,35.3249
2019/1/17,19.3154,13.1693,12.3103,17.7767,15.7664,25.0182,24.603,7.7787,30.392,35.2456
2019/1/16,19.3831,13.196,12.3653,17.9191,15.8923,25.099,24.7474,7.7882,30.865,35.7552
2019/1/15,19.3421,13.1431,12.4432,18.0026,15.8368,25.1362,24.4777,7.7813,30.9511,36.2287
2019/1/14,19.2166,13.0903,12.3525,17.7481,15.6184,24.1746,23.9868,7.6838,30.3641,35.7529
